epoch,train_loss,val_loss,val_accuracy,val_f1,seconds
1,0.587577150583174,0.6137731375485441,0.7171532846715328,0.6420323325635104,7.8
2,0.47851037427835463,0.5362506930845498,0.7627737226277372,0.7111111111111111,6.9
3,0.3962507508301763,0.49641501207421296,0.7773722627737226,0.7530364372469636,7.5
4,0.3245524026870168,0.5258383006945143,0.7645985401459854,0.7485380116959064,8.3
5,0.2527415557069894,0.5521691802644382,0.7773722627737226,0.7706766917293233,8.4
6,0.20458551162637487,0.6357502663222543,0.7883211678832117,0.7698412698412699,9.1
7,0.154259455509376,0.6463779369845007,0.791970802919708,0.7896678966789668,7.9
8,0.11955414668867771,0.7253127090469764,0.781021897810219,0.782608695652174,8.3
9,0.09242595863332961,0.7441782361834589,0.791970802919708,0.7881040892193308,8.0
10,0.06509136353788032,0.8191854831946157,0.7992700729927007,0.7782258064516129,8.2
11,0.04790955306769094,0.8569159061804305,0.7901459854014599,0.7722772277227723,7.8
